production_budget,worldwide_gross,title_year,aspect_ratio,duration,duration.1,cast_total_facebook_likes,budget,imdb_score,gross
100000000,310650574,2010,1.85,98,98,24082,100000000,5.5,148383780
100000000,365300000,1994,2.35,141,141,4528,115000000,7.2,146282411
100000000,267985456,2007,1.85,176,176,20354,100000000,7.8,130127620
100000000,236827677,2009,2.35,90,90,1227,100000000,7,124870275
100000000,170936470,2010,2.35,116,116,20233,100000000,6.7,119219978
100000000,391976723,2013,2.35,240,240,46057,100000000,8.2,116866727
100000000,262794441,2013,2.35,102,102,14552,100000000,6.7,107515297
100000000,234400000,1996,2.35,115,115,3454,100000000,6.1,101228120
100000000,325500000,1996,1.78,91,91,4842,100000000,6.9,100117603
100000000,169296573,2000,1.66,78,78,2039,100000000,7.3,89296573
100000000,311979256,2012,2.35,103,103,57881,92000000,6.7,85017401
100000000,99123656,2009,2.35,101,101,1738,100000000,6.8,77222184
100000000,249488115,2006,2.35,104,104,4487,100000000,5.1,75030163
100000000,212026975,1999,2.35,121,121,3903,83000000,5.7,66862068
100000000,96221971,2004,1.85,93,93,13748,90000000,5.2,59475623
100000000,145395745,2007,1.85,85,85,25590,100000000,6.8,58867694
100000000,171377916,2006,2.35,143,143,33160,100000000,8,57366262
100000000,139716717,2010,2.35,101,101,4286,80000000,7,55673333
100000000,121100000,1997,1.85,129,129,2031,105000000,7.2,54700065
100000000,69548641,2009,1.85,102,102,10552,100000000,5.4,49392095
100000000,82145379,2004,2.35,87,87,3144,100000000,3.3,40198710
100000000,209461378,2014,2.35,131,131,52610,90000000,6.1,39292022
100000000,91800000,2002,1.5,95,95,26940,140000000,7.1,38120554
100000000,97523020,2010,2.35,115,115,13761,100000000,6.9,35024475
100000000,103039258,2014,2.35,119,119,54031,100000000,6.3,23014504
100000000,59918422,2005,1.85,94,94,1195,84000000,2.2,17010646
100000000,13835130,1997,1.85,110,110,1722,10000000,7.3,10200000
100000000,7094995,2002,1.85,95,95,6161,100000000,3.8,4411102
99000000,244778411,2015,1.85,88,88,309,99000000,7.2,130174897
98000000,435040395,2001,2.35,130,130,15972,98000000,6.3,202007640
97000000,183124621,2002,2.35,216,216,47657,100000000,7.5,77679638
95000000,879765137,2012,2.35,88,88,25354,95000000,6.6,161317423
95000000,159691085,2001,2.35,152,152,4270,92000000,7.7,108638745
95000000,223050874,2010,2.35,118,118,14024,95000000,5.9,88761720
95000000,169511609,2010,2.35,98,98,25780,100000000,6.8,81557479
95000000,263900000,1997,2.35,126,126,39319,93000000,7.7,63540020
95000000,65700000,2000,1.85,89,89,3372,95000000,6.9,50802661
95000000,94894448,2009,2.35,135,135,2370,65000000,6.7,43982842
95000000,94894448,2009,2.35,135,135,2369,65000000,6.7,43982842
95000000,110623265,2014,2.35,102,102,17098,95000000,5.5,17176900
94000000,936429370,2003,1.85,100,100,5641,94000000,8.2,380838870
94000000,1141408667,2003,2.35,192,192,6434,94000000,8.9,377019252
94000000,934703179,2002,2.35,172,172,23052,94000000,8.7,340478898
94000000,273330185,2001,2.35,100,100,12150,115000000,5.7,131144183
93000000,365900000,2001,1.85,92,92,2574,93000000,5.9,181166115
93000000,482860185,2011,2.35,105,105,13118,93000000,7.6,176740650
92500000,162839667,2008,2.35,107,107,1614,90000000,6.6,71148699
92000000,614726752,2004,2.35,115,115,1901,92000000,8,261437578
92000000,304249198,2013,1.85,101,101,15481,92000000,5.3,67344392
92000000,18517322,1995,2.35,124,124,3611,98000000,5.6,11000000
91000000,188536838,2013,2.35,114,114,5095,90000000,7.3,58229120
90000000,587790539,1997,1.85,98,98,12998,90000000,7.3,250147615
90000000,511358276,1999,1.85,82,82,21275,90000000,7.9,245823397
90000000,347425832,2001,2.35,90,90,664,90000000,6.6,226138454
90000000,498438212,2009,1.85,128,128,23996,90000000,7.6,209019489
90000000,859701857,2009,1.85,94,94,1258,90000000,7,196573705
90000000,288693989,2000,2.35,130,130,12890,100000000,6.6,155370362
90000000,487519809,2011,2.35,96,96,12071,90000000,7,143618384
90000000,289660619,2006,2.35,151,151,45648,90000000,8.5,132373442
90000000,259736090,2000,2.35,94,94,15419,92000000,5.5,125305545
90000000,303500000,1998,1.66,88,88,4478,90000000,7.5,120618403
90000000,191091250,2008,2.35,121,121,23484,92000000,7,110416702
90000000,239373970,2011,2.35,158,158,20388,90000000,7.8,102515793
90000000,165900000,1997,2.35,150,150,12289,90000000,7.4,100853835
90000000,202910991,2008,1.85,113,113,13446,90000000,5.5,100018837
90000000,366101666,1995,2.35,128,128,14274,90000000,7.6,100012500
90000000,235296080,2015,1.85,92,92,38450,90000000,5,85884815
90000000,186049020,2001,2.35,95,95,15237,120000000,6.8,84037039
90000000,203902107,2008,1.85,121,121,14165,75000000,7.1,83077470
90000000,244126300,2015,2.35,106,106,35367,88000000,5.6,78747585
90000000,235900000,2001,1.85,146,146,6217,100000000,7.1,78616689
90000000,155750628,2003,2.35,88,88,2622,90000000,4.9,75817994
90000000,191200000,2000,1.85,119,119,2356,95000000,5.7,73209340
90000000,162753837,2005,2.35,128,128,2100,80000000,6.4,72515360
90000000,200859554,2013,2.35,106,106,10882,90000000,5.9,68558662
90000000,157092943,2003,2.35,117,117,33154,95000000,5.5,65653758
90000000,313404841,2016,2.35,129,129,23031,90000000,6.9,64685359
90000000,143049560,2001,2.35,114,114,12499,92000000,7,26871
90000000,169400000,1997,2.35,116,116,475,68000000,6.2,61355436
90000000,106000000,2000,2.35,114,114,4902,90000000,5.6,60874615
90000000,87420776,1999,1.85,132,132,55254,100000000,6.8,58220776
90000000,120100000,1997,1.85,104,104,5062,90000000,5.4,47474112
90000000,140900000,1997,2.35,111,111,26088,86000000,6.1,42877165
90000000,65716126,2002,2.35,138,138,15149,100000000,6.7,35168677
90000000,139877913,2011,2.35,110,110,27694,75000000,5.8,20315324
90000000,20466016,2010,2.35,110,110,2728,90000000,4.4,190562
88000000,105021488,2005,2.35,144,144,2523,88000000,8,61644321
86000000,148715342,2003,2.35,140,140,13808,87000000,7.3,120147445
85000000,427230516,2000,1.85,143,143,15838,90000000,7.7,233630478
85000000,450728529,2001,2.35,116,116,13028,85000000,7.8,183405771
85000000,288587450,2004,2.35,108,108,14161,75000000,7.8,176049130
85000000,315268353,1997,2.35,124,124,23603,85000000,6.4,172620724
85000000,276014965,2014,2.35,139,139,22226,85000000,6.7,150832203
85000000,378505812,2012,1.85,91,91,37142,85000000,7.1,148313048
85000000,340384141,2007,2.35,107,107,662,85000000,7.1,127706877
85000000,208542162,2012,2.35,115,115,36237,85000000,6.8,126149655
85000000,311744465,2007,2.35,122,122,43499,85000000,6.9,117144465
85000000,224614744,2009,1.85,120,120,15226,85000000,6.6,112703470
85000000,250649836,1998,2.35,140,140,11951,90000000,7.3,111544445
85000000,191932158,2006,1.85,83,83,6081,85000000,6.2,84303558
85000000,153487972,2011,2.35,104,104,3768,75000000,6.2,78009155
85000000,66941559,2000,1.85,100,100,4182,85000000,4.8,66941559
85000000,173613482,2012,1.85,106,106,11454,85000000,5.6,64933670
85000000,205190324,2006,1.85,138,138,17423,85000000,6.9,63224849
85000000,157794205,2006,2.35,104,104,1235,85000000,6,62494975
85000000,161510853,2005,2.35,145,145,2380,85000000,7.3,57010853
85000000,96971293,2001,2.35,131,131,5103,68000000,7.6,51396781
85000000,137298489,1993,2.35,130,130,2407,70000000,6.2,50016394
85000000,80831893,2003,2.35,104,104,16930,85000000,6.7,47592825
85000000,149717124,2011,1.85,97,97,2707,100000000,7.1,46440491
85000000,114979922,2010,1.85,82,82,3326,85000000,4.3,43575716
85000000,44650003,1998,1.85,178,178,23950,90000000,7.1,44606335
85000000,78353508,2002,1.85,108,108,1460,85000000,5.5,40048332
85000000,83080084,2007,2.35,162,162,36928,65000000,7.7,33048353
85000000,48056764,2010,1.85,112,112,12687,60000000,7.5,31494270
85000000,74132631,2003,2.35,135,135,1439,60000000,5.4,31111260
84000000,276294164,2002,1.85,86,86,6355,84000000,4.9,153288182
84000000,166307945,2000,1.85,109,109,2818,65000000,4.3,123307945
84000000,137162560,2013,2.35,116,116,25220,84000000,6.7,53215979
82500000,237685089,2006,1.85,107,107,12700,70000000,6.4,137340146
82500000,143985708,2006,1.85,97,97,23907,40455386.33,6.4,82506325
82500000,223636949,2008,2.35,88,88,21863,85000000,6.1,80170146
82500000,160388063,2008,1.85,120,120,3632,85000000,7,75754670
82000000,190320568,2005,2.35,113,113,13693,82000000,6.4,158115031
82000000,268268174,2010,2.35,113,113,46355,80000000,6.5,102981571
82000000,96024898,2000,2.35,123,123,5839,82000000,5.9,34543701
81000000,483473962,2003,1.85,101,101,21276,81000000,6.7,242589580
80000000,677923379,2012,2.35,142,142,49942,78000000,7.3,407999255
80000000,586464305,2011,2.35,102,102,16143,80000000,6.5,254455986
80000000,470909901,2015,1.85,89,89,26839,80000000,6.7,169692572
80000000,266824291,1992,1.85,126,126,2899,80000000,7,162831698
80000000,343397247,2006,1.85,83,83,22813,80000000,6.8,155019340
80000000,245800000,2002,1.66,85,85,3112,80000000,7.2,145771527
80000000,349464664,1998,2.35,120,120,22750,75000000,6.1,140459099
80000000,247023808,2013,1.85,101,101,39269,80000000,5.4,133668525
80000000,349088523,2011,1.85,87,87,4073,75000000,4.4,133103929
80000000,226739416,2008,1.85,110,110,44798,80000000,6.5,130313314
80000000,260700012,2005,1.85,91,91,1804,75000000,6.3,128200012
80000000,299461782,2010,2.35,138,138,29585,80000000,8.1,127968405
80000000,266685242,2003,1.85,128,128,22679,80000000,6.7,124590960
80000000,168311558,2008,1.85,88,88,9913,80000000,5.6,120136047
80000000,241200000,1997,2.35,138,138,17087,80000000,7.3,112225777
80000000,221468935,2008,2.35,99,99,12831,80000000,6.1,109993847
80000000,183354514,2002,2.35,117,117,16828,80000000,7.7,104054514
